ViewPage,Title,Company,Location,Metadata,Summary
https://uk.indeed.com/viewjob?jk=8dee54049db3137e,Platform Engineer,Oho Group,London,"£40,000 - £50,000 a yearPermanent","Experience with golang and Terraform.
 A passion for architecting and building cloud native systems.
 Designed and implemented micro services and distributed…"
https://uk.indeed.com/viewjob?jk=ab9a2538ea4ce2b6,Software Developer in Test,Dojo,London,Full-time,As a Software Engineer in Test you will be utilising your technical ability and passion for quality to advocate and implement a quality focused mindset within…
https://uk.indeed.com/viewjob?jk=283710b314ad20ba,Engineering Manager,InterQuest,London,"£90,000 a yearPermanent","Our client is a multi-channel, multi-brand business serving millions of customers a day, with the UK's largest customer scheme and an ever-evolving set of…"
https://uk.indeed.com/viewjob?jk=5f7fb46331b9cfd3,API Engineer,Correla,Solihull,"£75,000 a yearPermanent","As an API Engineer you will be working in an agile scrum team delivering a enhancements to the API platform and be responsible for the development, integration…"
https://uk.indeed.com/viewjob?jk=aee48c3329b64a87,Software Development Engineer,EMIS Group Plc,Remote,,"Integrating single sign-on into our web application.
 Using artificial intelligence to warn our users that they might have entered identifiable patient data into…"
https://uk.indeed.com/viewjob?jk=9c0fc1bfdf1716c1,Blockchain Infrastructure Developer,DRW,London,,"2+ years of node related development experience.
 Golang, Rust will be intrinsic to this role.
 Good knowledge of chain roadmaps and upcoming chain projects."
https://uk.indeed.com/viewjob?jk=a3ee616921c71fa5,Lead Software Engineer,Maersk,Maidenhead,Full-time,"You will be part of a newly formed scrum team in Maersk Cloud Engineering.
 As a contributing engineer in Cloud Engineering, you will be expected to design,…"
https://uk.indeed.com/viewjob?jk=aa2fae3ef9e0753d,Software Engineer - Security,VanHack,London,,"Design and implement reliable, scalable, robust and extensible security and privacy systems that support the company's core security systems and products."
https://uk.indeed.com/viewjob?jk=6db12725394ac0d6,Software Developer - PHP Full stack / VueJS,Fasthosts,Hybrid remote in Gloucester GL1,,"With a range of products, from Domain Registration to modern Container Hosting and Provisioning systems (and many more!), we use modern development stacks…"
https://uk.indeed.com/viewjob?jk=34587d48d5315f95,Software Development Engineer - GEOFlex,AWS EMEA SARL (UK Branch),London,Full-time +1,A Bachelor’s Degree in Computer Science or related field or equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of…
